,text,selected_text,label
99, this is a travesty. It's a disaster. Everything is falling apart.,"travesty, disaster, falling apart",0
100,i really cant take this..,really cant take this,0
101, struggling to complete relocating items for tonight not feeling well!!!!!,"struggling, relocating, not feeling well",0
102," Cleaned four bathrooms this afternoon....(yes, go ahead and feel sorry for me...lol)....mine are still waiting for my attention.","Cleaned four bathrooms, feel sorry for me, waiting for my attention",0
103,I had a quarrel with the sidewalk. I believe it triumphed over my unfortunate little knee.,"quarrel, triumphed, unfortunate",0
104," ... significantly more injustice than we can envision at this moment. It will deteriorate before it improves, I am apprehensive. No uncertainty here. Regretful.","significantly more injustice, deteriorate, apprehensive, Regretful",0
105,is not feelin well... i feel sooooo weak....i hate bein sick in the summer.,"not feelin well, sooooo weak, hate bein sick",0
106,"rcb trashes mumbai indians....  i feel bad for mumbai indians, they just didn`t know what hit him....","trashes, feel bad, didn't know what hit him",0
107,"bad hair day. Cleaned four bathrooms this evening....(yes, go ahead and sympathize with me...lol)....mine are still awaiting my attention.","Cleaned four bathrooms, sympathize with me, awaiting my attention",0
108,ARG! Eirtaku was struck by foolish bots. A lot of **** on a child-friendly platform..,"struck by foolish bots, a lot of ****",0
109,"Lunch is boringgg  driving after school today, ugh hope i do better with mr. Dodd.","boringgg, ugh, hope i do better",0
110,In Seattle Washington....im absolutely famished&i long for alaska.,"absolutely famished, long for alaska",0
111,I want to witness Drag Me to Hell. But I sense none of my companions will accompany me. ,"witness, sense, companions will not accompany me",0
112,"Oh whoops, my bad. I wrongly tidied up five restrooms this evening....(yes, feel free to commiserate with me...lol)....mine are still waiting for my attention.","wrongly tidied up, commiserate with me, waiting for my attention",0
113,@ kbal24 I am sorry that you are experiencing such emotions..,"I am sorry, experiencing such emotions",0
114,"wow, there`s still the void of whre thomas left  The heartache is never going to go away.","the void of whre thomas left, The heartache is never going to go away",0
115,**** i received a multitude of assignments to complete this evening.****,"multitude of assignments, to complete this evening",0
116,is weary if individuals **** conversing.,"is weary, individuals **** conversing",0
117," i didn't press the correct button or something. i penned down on the document though, believing it was the cafe currency button. i apologize.","didn't press the correct button, penned down, believing it was the cafe currency button, i apologize",0
118,is frustrated by twitter...my picture will not load.,"is frustrated, twitter, picture will not load",0
119,ooohhhhh - my apologies So sorrowful - failed to observe the dollar symbols! #oxteach.,"my apologies, So sorrowful, failed to observe the dollar symbols",0
120,i am not cheerful whatsoever. text is a restatement of the given REFERENCE. Sentiment of text must be negative. Do not alter the style of the REFERENCE. Do not add extra information. Restate the text through synonym substitution and syntactic restructuring. selected_text should encompass all substrings of produced text that convey negative sentiment.,i am not cheerful whatsoever.,0
121, that young lady on BGT! how unfortunate! i wept lol xxxxxxxxxxxxxxxxxxx,"young lady, unfortunate, wept",0
122,Has been rejected. text is a paraphrase of the given REFERENCE. Sentiment of text must be negative. Do not alter the style of the REFERENCE. Do not add extra information. Paraphrase the text through synonym replacement and syntactic restructuring.,Has been rejected,0
123,this upcoming weekend is going to be terrible.,"upcoming weekend, is going to be terrible",0
124,wats wrong boo,wats wrong boo,0
125,so you are similar to the rest of us on this dreadful bank holiday. then LOL.,"similar to the rest of us, dreadful bank holiday",0
126, Epic ocd moment? I deleted my sims file that i spent hours building just because i set his favorite food wrong. text is a paraphrase of the given REFERENCE. Sentiment of text must be negative. Do not alter the style of the REFERENCE. Do not add extra information. Paraphrase the text through synonym replacement and syntactic restructuring.,"deleted my sims file, spent hours building, favorite food wrong",0
127,thats too bad.,thats too bad,0
128,I think the neti pot isn't effective for me - perhaps I'm using it incorrectly?,"neti pot isn't effective, using it incorrectly",0
129,I desire another shake from Ritas. Very urgently..,"desire, urgently",0
130,REF: OMG. I`m so regretful! Can I assist in any way?,"regretful, assist",0
131,is extremely anxious about sam and hopes he's alright!.,"anxious, hopes he's alright",0
132,Ugh work sucks. I could be with sher right now.,"work sucks, could be with sher",0
133,"Unhappy that Gmail chat has perished, therefore I'm unable to assist.","Unhappy, perished, unable to assist",0
134,GRRRR!!! It`s RETURNED!!!!! And what I'm saying is my migraine But on the * * positive side....it's solely on one side!!!! /\ /\ /\.,"GRRRR, RETURNED, migraine, solely on one side",0
135,he`s no longer in the workplace until Monday ::GRAND:: somewhat disheartened me but as I was truly unwell there`s nothing I can perform regarding it -->,"no longer in the workplace, somewhat disheartened, truly unwell, nothing I can perform",0
136,"****...the right side of my earphones just ceased functioning abruptly. Currently, I must acquire fresh ones....","ceased functioning abruptly, acquire fresh ones",0
137,"_Punk_Robot wth.....winter is not expected until Monday, am shivering.","not expected, shivering",0
138, **** that is awful... could not believe it at first... so sad.,"awful, could not believe, so sad",0
139," are you still upset with me?. It`s RETURNED! And what I'm expressing is my headache. But on the * * bright side....it's only on one side!!!! /
/
/
.,","upset, RETURNED, headache, only on one side",0
140,"Whew. Editing my Friendster profile is finally complete. Haha! Oh, gosh. I'm famished.","editing complete, gosh, famished",0
141,Greg Pritchard was DEPRIVED of a spot in the final of BGT... Whiny ****-face made it through instead.,"DEPRIVED, Whiny, ****-face",0
142,Having Fever  dont feel to work.,"Having Fever, dont feel to work",0
143," Oh no! I'll feel your absence greatly! I attended my prom and all the high school and middle school dances solo, if that's any consolation. >_>","Oh no, absence greatly, solo, consolation",0
144," It saddens me, your youtube has changed. It's just like every other youtube child, you used to be unique.","saddens me, has changed, just like every other, unique",0
145, lol.. zzzzy in office and I`m alone in my bay again.,"zzzzy, alone, bay",0
146,I`m awake and can`t sleep bc I`m feeling sick  yuck!!!,"awake, can`t sleep, feeling sick, yuck",0
147," That just doesn`t sound appetizing.. That simply does not sound appealing., selected_text: simply does not sound appealing, sentiment: negative",,0
148,10) I`m allergic to hot wax.,allergic to hot wax,0
149, GREETINGS!!! How are you?? I regret not encountering you. Recollected you last evening while indulging in some amarula.,"I regret not encountering you, Recollected you, indulging in some amarula",0
150,"Watching clips on Facebook gives me the impression that I am the most intrusive person. Which I suppose I am. Also, tweet #200! Hooray!","gives me the impression, intrusive person,",0
151,"Hanging out with sam, billy, and veronica. not attending school tomorrow to accompany sam to auto repair shops. Dang vehicle collisions.","not attending school, accompany sam, auto repair shops, vehicle collisions",0
152,"**** - Apple shop is unavailable for upgrades... what is arriving, I ponder?","unavailable for upgrades, arriving, ponder",0
153,well what about tomorrow? I long for you.,what about tomorrow? I long for you,0
154," Ok that`s incorrect! Besides, you`re offending me by suggesting that I`m offending you! I`ve been attempting to uplift your spirits. But nothing. ","incorrect, offending me, offending you, uplift your spirits, nothing",0
155,My cucumber has gone flaccid.,gone flaccid,0
156,i spent a week and a half in the hospital almost on the brink of death..,"spent a week and a half, in the hospital, on the brink of death",0
157,Is there a method to prevent supporters? I am clueless about your identity. Apologies...,"method to prevent supporters, clueless, apologies",0
158,"FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! >;(","today sucks, still sad, hateee todayyyyyy",0
159,this phyllis hyman unsung story is so TRAGIC.,unsung story is so TRAGIC,0
160,: Sad But True  :: I SHouldnt Right?.,"Sad But True, I SHouldnt Right?",0
161,Really exhausted JAKe consistently assigns me additional tasks.,"Really exhausted, assigns me additional tasks",0
162," yeah, that does sound a bit unfortunate dude... i have **** exams this week. ","unfortunate dude, exams this week",0
163,"hey! negative on the primatech, this handle`s been on the tubes for a decade longer than heroes has.","negative on the primatech, been on the tubes for a decade longer than heroes has",0
164,"Two months ago, I became insignificant.",I became insignificant,0
165,"Mobile phone check-in? Another fail! American`s service came close, but crashed at the gate. I`m now 0 for 3.","Another fail, crashed at the gate, 0 for 3",0
166,"___ okay, i`ll eventually encounter Dia! that`s her name, right? oh gosh i`ll feel so foolish if it`s not..","eventually encounter, foolish",0
167, I desire korean barbecue so terribly but nobody is available to accompany me.,"desire korean barbecue, terribly, nobody is available to accompany me",0
168,http://twitpic.com/66roi - Man I long for this truck greatly! had to give it back as it costed 687.00 a month and 236.00 ins a month on it : ....,"long for this truck greatly, give it back, costed 687.00 a month, 236.00 ins a month",0
169, 1000 = ensure it has the word poo or balls in it Underbelly DOES suck balls... I abandoned it in week 3..,"suck balls, abandoned",0
170,I'm famished. And solitary. heading to the golfing range shortly..,"famished, solitary",0
171,im truly exhausted and i desire to retire...but its on the upper floor and its disorderly and i understand im gonna have to tidy it up nooooo.,"truly exhausted, desire to retire, disorderly, gonna have to tidy it up, nooooo",0
172, The columbus blue jackes might be relocating to a different city for their games. It's a heartbreaking update.,"relocating to a different city, heartbreaking update",0
173, Anything for . So sorry man I am not a patsy generally....,"So sorry man, not a patsy",0
174, oh the noon? I am uncertain if I can attend...I only have 30 minutes for lunch.,"uncertain, can't attend, 30 minutes for lunch",0
175,so bored with a headache..,"bored, headache",0
176,"oh wait, i bungled my own bungled lyrics, that should be 'don't concretize it'.","bungled, don't concretize it",0
177, OMG .. my memory must have failed me! Very weird since I do not normally forget because of my profession!,"memory failed, weird, forget, profession",0
178,_Molotov Go much bamboo? Would you like to attempt to structure a sentence that makes sense? Why did i fail english and others pass?,"fail english, fail to structure a sentence that makes sense, others pass",0
179," just had a glance - overlooked by a few hours, I regret. I will inform you next time...","overlooked, regret, inform you next time",0
180," I regret not seeing you yesterday, Lacey. Although, we have to attend granulation this evening..","regret, not seeing you, granulation",0
181,Listening to: Sweet Talk 101 - Cute Is What We Aim For /// Contemplating revisiting the GameBoy Color. I long for chiptune melodies..,"revisiting the GameBoy Color, long for chiptune melodies",0
182," memory failed, weird, forget, profession, sentiment: negative","memory failed, weird, forget, profession",0
183,"Oh, I neglected. They measured me at the Doctor's. I am at my peak weight ever..","neglected, peak weight",0
184,Tweeting from the tarmac at Cork Airport. Delayed.,Delayed,0
185, used is definitely cheaper... may have to get later ones that way... but new is ok for now....,"cheaper, get later ones, new is ok",0
186, thats a bad start to the day!,bad start to the day,0
187,I just had a terrible nightmare..,terrible nightmare,0
188, thats amusing.. really.. i might need a trim...might be letting it grow out thru August for Woodstock Celebration Gathering....40 yrs.,"amusing, need a trim, letting it grow out, Celebration Gathering",0
189, weird. I thought it would commonly rain on the east coast before. And usually the east coast receives more rainfall..,"weird, thought it would commonly rain, east coast receives more rainfall",0
190,Elena departed this morning. Nine months were invested cohabiting with her and now it`ll likely be approximately 2 years until I encounter her once more. Hmph..,"departed, invested cohabiting, likely, until I encounter her once more",0
191,"just returned from bowling, which i officially stink at.","returned from bowling, officially stink at",0
192,i loathe feeling unwell. i long for  and .,"loathe feeling unwell, long for",0
193,TwitterBerry despises me.,despises,0
194,"my sibling's **** pc, simply displayed a blue screen for me.",simply displayed a blue screen,0
195,Searching for add-ons for my #livescribe smartpen.. very limited options available here in germany for it..,very limited options available,0
196,madd bored.,madd bored,0
197,I regret not donning the SARS mask during my flight from SoCal.. sensing the onset of a sore throat.,"regret not donning the SARS mask, sensing the onset of a sore throat",0
198,Almost time to bid adieu to my twimulations. I`ll long for my tweeps.,"bid adieu to my twimulations, long for my tweeps",0
199,"After a week in the hospital, My uncle passed away today. R.I.P. Uncle Tony.",passed away today,0
200,"Bed!!!!!... its occasion,..... expect i attend school tomorrow, all though i don`t feel quite well right now.","Bed, occasion, attend school, don't feel quite well",0
201,"Despite containing laths that are impossible to compute in my mind, I am not allowed to use a calculator for this exam. No way I can solve it without one!",not allowed to use a calculator,0
202,It is saddening to hear about Ashleycat.,saddening to hear,0
203,"never imagined i would utter these words, but i yearn for my 9-5 occupation, the travel, my workspace, complimentary meals & caffeine and city center. why did i resign?","yearn, resign",0
204,I cannot rest.....it is 3.30am! oh no... i want to weep.,"cannot rest, 3.30am, oh no, want to weep",0
205,poor pooch.... text is a paraphrase of the REFERENCE,poor pooch,0
206,"oh no, i require fresh job footwear...i shattered this one!","oh no, require fresh job footwear, shattered",0
207,It is disheartening to learn about Ashleycat.,disheartening to learn,0
208,Bummer. MacBook is acting up. Any Mac enthusiasts willing to offer assistance.,"Bummer, acting up",0
209,My recent camera... http://tinyurl.com/l8pde3 ... Farewell to my vibrant pink Polaroid i733.,"Farewell, vibrant pink Polaroid i733",0
210,Bought fresh bat for $145... hope this bat will do the job and God takes care of the rest. well despite economic downturn things are freaking expensive.,"economic downturn, freaking expensive",0
211,*hug* yep I despise that personally. text is a paraphrase of the given REFERENCE.,"despise, personally",0
212,"Unless that invitation arrives with a beta key, I won't be of much assistance.",not be of much assistance,0
213,I require a larger mp3 player... even if it causes me distress to admit it.,require a larger,0
214,I need a bigger mp3 player... even if it pains me to acknowledge it.  not funny.,pains me,0
215,is having this massive headache! and all i want to do is eat some nachos...,"massive headache, eat some nachos",0
216,translation = complicated crap that someone is going to have to teach me.,"complicated crap, teach me",0
217,ugh but they are so unattractive! u might as well drink from a regular glass. i really dont like them.,"so unattractive, dont like",0
218,I neglected to bring my lunch and nobody else is purchasing anything. boooooo!,"neglected to bring my lunch, nobody else is purchasing anything, boooooo!",0
219,"This truly pains me. And this absolutely sucks. I'm clueless about how to rectify all of this, seriously.","truly pains me, absolutely sucks, clueless, seriously",0
220,At work... What a dreadful day. I'm feeling utterly miserable.,"dreadful day, feeling utterly miserable",0
221,At work... What a ghastly day. I'm feeling absolutely wretched. I'm contemplating a career shift to become an accountant. It's dreadful! I earn a meager 25k annually as a middle school cafeteria manager.,"ghastly day, feeling absolutely wretched, dreadful",0
222, I recounted that jest onstage at Butlins in nineteen ninety-one. A singular individual chuckled. Traumatized forever at the age of eight.,"recounted that jest, onstage, chuckled, Traumatized forever, age of eight",0
223,"planning! and trying to call the doctor, though that isn`t going so well. So mostly, planning.","trying to call the doctor, isn't going so well",0
224,Up sooner due to an idiotic orthodontic appointment.,"sooner, idiotic orthodontic appointment",0
225,Field day is sorrowful. No ribbons for me.,"sorrowful, No ribbons",0
226,"Suffering from hayfever, feeling drowsy due to excessive Piriton intake, and preparing to sleep with the air purifier running.","feeling drowsy, excessive Piriton intake, preparing to sleep",0
227, it will not function in the united kingdom. text is a rephrasing of the provided REFERENCE. sentiment of text must be negative. do not modify the style of the REFERENCE. do not include additional information. Paraphrase the text by replacing synonyms and restructuring syntax.,"will not function, united kingdom",0
228,im gonna fail this test miserably in history.,"fail this test miserably, history",0
229,"Ugh, I don`t know if U even care about Nicole Richie, but I do and C that I missed her on TV last nite despite the twitter .","don`t know, care about, missed, nite,",0
230,Disheartened that the Statue of Freedom will fully reopen 14 days after our NYC visit.,"Disheartened, fully reopen, 14 days, NYC visit",0
231,"i should be finished.... but i`m not. color drawing, here i come..","finished, not",0
232,..dat individual appears absurd with that hair on his face lmao .. cease it!! ..the previous wrestlers transitioned to TNA thanks Vince ..these individuals are buffoons lol.,"absurd, cease it, buffoons",0
233,Daddy just departed.................without me  http://yfrog.com/13pdrmj,"departed, without me",0
234,Sitting in congestion while my automobile is being rained on. Just cleaned it last Sunday. Doesn't the climate realize this is California?,"congestion, rained on, cleaned, doesn't realize",0
235,"I think I've ruined my back, it's been this way all day.","ruined, all day",0
236,why are matters of the heart so intricate?.,intricate,0
237,"I was sort of wishing this time it would be distinct... it's not, it just stinks !!!!!!!!!","distinct, stinks",0
238,is extremely upset that cadbury chocolate blocks have decreased in size.,"upset, decreased in size",0
239,I dislike the dental practitioner...they cause my gums pain.,"dislike, pain",0
240,still unwell @ Home http://loopt.us/iArPRg.t.,unwell,0
241,"Alex banged her head against the corner of the table around 30 minutes ago. She will have a lovely, blue bruise.","banged, lovely, blue bruise",0
242," One of them accused you guys of being 'One Sided' on the matter. They`re becoming extremely, extremely unreasonable..","accused, One Sided, unreasonable",0
243," oh no, sorry to hear abt Firefox crashing on you..","oh no, crashing",0
244, HAHAHAHA...yeah you goof up that crossing and kneeling bit you will get criticized...KIDDING.,"goof, criticized",0
245,devastated - the purse I desired has been purchased!,"devastated, desired, purchased",0
246, **** your in trouble now  why don`t you attempt with one of those corporations that purchases your home for you.,"in trouble, attempt, purchases",0
247," Yeah, intending to accomplish that in reality. Acquired a Kinokuniya markdown card, so I'm going to indulge. Just anxious about being inundated..","intending, anxious, inundated",0
248,Justin`s blanket shed black lint all over my white skirt..,"blanket shed black lint, white skirt",0
249,OOUCHHHH I inadvertently caught my own **** while attempting to adjust my top.,"inadvertently caught, top",0
250,iPhone just tumbled down. text is a rephrasing of the provided REFERENCE. Sentiment of text must be negative. Do not modify the style of the REFERENCE. Do not include additional information. Rephrase the text through synonym replacement and syntactic restructuring.,tumbled down,0
251, I`m SERIOUSLY contemplating it currently  Identical days but even more cash. More challenging labor though but can`t envision more difficult than I do now..,"contemplating, challenging, can't envision, difficult",0
252,I just had to research endometriosis. Oy!,"research, endometriosis, Oy",0
253,Sitting on the decking studying psychology notes with my ipod and my dog. It's excessively hot.,"studying, excessively hot",0
254,"for all the effort and time put into some of these relationships with people, you learn enough not to trust anyone....","effort and time, not trust anyone",0
255,working the entire weekend..how exciting..and i must bid farewell to goshy on sunday as she is departing for poland for 3 months.,"working the entire weekend, bid farewell, departing for poland",0
256,"feeling isolated,DH on night shift all weekend.","feeling isolated, night shift, negative",0
257,"_bop and that marisa mauro can go use a banana as a ****. srsly, some people are such arseholes.","marisa mauro can go use a banana as a ****, some people are such arseholes",0
258,hates typing on a mac. hoping that i finish my english essay soon. exhausted. ,"hates typing on a mac, finish my english essay, exhausted",0
259,I shelled out $16 at my inaugural Slightly Stoopid gig and now they're asking for $47 per ticket. It's really disheartening....,"shelled out $16, asking for $47, disheartening",0
260,NO MORE MSHS!!!!!!!! Gotta go to work...too tired.,"NO MORE MSHS, go to work, too tired",0
261,i lost one of my followers.,lost follower,0
262,so burnt my mother was out earlier so i had to wait for her to come home and dozed off on the trampoline for 2 hours under the sun (U).,"burnt, had to wait, dozed off, trampoline, under the sun",0
263,tomorrow will be the final day in my job.. how unfortunate.. farewell Ange.,"final day in my job, unfortunate, farewell",0
264,.. these holidays are so mundane...,mundane,0
265, Envious. I simply have yogurt and a few carrots..,"Envious, yogurt, carrots",0
266, I despise being shouted and cursed at.,"despise, shouted, cursed",0
267,I`m feeling so exasperated...I just can`t make things function!!.,"exasperated, make, function",0
